Sept. 14, 2020   13:07:46
Linear Sweep Voltammetry,
File: c:\users\zhanglei\desktop\zzy\ivData Source:  Experiment,
Instrument Model:  CHI660E,
Header: ,
Note: ,
,
Init E (V) = 0,
Final E (V) = 1.2,
Scan Rate (V/s) = 0.1,
Sample Interval (V) = 0.001,
Quiet Time (sec) = 2,
Sensitivity (A/V) = 0.01,
,
,
Potential/V, Current/A
,
0.767,1.33E-02
0.768,1.34E-02
0.769,1.34E-02
0.77,1.34E-02
0.771,1.34E-02
0.772,1.34E-02
0.773,1.35E-02
0.774,1.35E-02
0.775,1.35E-02
0.776,1.35E-02
0.777,1.35E-02
0.778,1.36E-02
0.779,1.36E-02
0.78,1.36E-02
0.781,1.36E-02
0.782,1.36E-02
0.783,1.37E-02
0.784,1.37E-02
0.785,1.37E-02
0.786,1.37E-02
0.787,1.37E-02
0.788,1.38E-02
0.789,1.38E-02
0.79,1.38E-02
0.791,1.38E-02
0.792,1.38E-02
0.793,1.39E-02
0.794,1.39E-02
0.795,1.39E-02
0.796,1.39E-02
0.797,1.40E-02
0.798,1.40E-02
0.799,1.40E-02
0.8,1.40E-02
0.801,1.41E-02
0.802,1.41E-02
0.803,1.41E-02
0.804,1.41E-02
0.805,1.41E-02
0.806,1.41E-02
0.807,1.42E-02
0.808,1.42E-02
0.809,1.42E-02
0.81,1.42E-02
0.811,1.42E-02
0.812,1.42E-02
0.813,1.43E-02
0.814,1.43E-02
0.815,1.43E-02
0.816,1.43E-02
0.817,1.44E-02
0.818,1.44E-02
0.819,1.44E-02
0.82,1.44E-02
0.821,1.44E-02
0.822,1.45E-02
0.823,1.45E-02
0.824,1.45E-02
0.825,1.45E-02
0.826,1.46E-02
0.827,1.46E-02
0.828,1.46E-02
0.829,1.46E-02
0.83,1.46E-02
0.831,1.47E-02
0.832,1.47E-02
0.833,1.47E-02
0.834,1.47E-02
0.835,1.47E-02
0.836,1.47E-02
0.837,1.48E-02
0.838,1.48E-02
0.839,1.48E-02
0.84,1.48E-02
0.841,1.48E-02
0.842,1.49E-02
0.843,1.49E-02
0.844,1.49E-02
0.845,1.49E-02
0.846,1.49E-02
0.847,1.50E-02
0.848,1.50E-02
0.849,1.50E-02
0.85,1.50E-02
0.851,1.51E-02
0.852,1.51E-02
0.853,1.51E-02
0.854,1.51E-02
0.855,1.52E-02
0.856,1.52E-02
0.857,1.52E-02
0.858,1.52E-02
0.859,1.52E-02
0.86,1.52E-02
